id,boe,puesto_antes,puesto_despues,plazas_antes,plazas_despues,tipo,duplicacion,clave_correspondencia
100819,BOE-A-2025-22543,50371189,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=44:codigo/plazas=50371189/1
100820,BOE-A-2025-22543,50371190,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=45:codigo/plazas=50371190/1
100821,BOE-A-2025-22543,50371224,OFICINA GENERAL DEL REGISTRO CIVIL DE LA LINEA DE LA CONCEPCION.,1,1,,,BOE-A-2025-22543:tabla=0:fila=46:codigo/plazas=50371224/1
100822,BOE-A-2025-22543,50371225,OFICINA GENERAL DEL REGISTRO CIVIL DE LA LINEA DE LA CONCEPCION.,1,1,,,BOE-A-2025-22543:tabla=0:fila=47:codigo/plazas=50371225/1
100823,BOE-A-2025-22543,50370656,OFICINA DE JUSTICIA DE OLVERA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=48:codigo/plazas=50370656/1
100824,BOE-A-2025-22543,50371246,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=49:codigo/plazas=50371246/1
100825,BOE-A-2025-22543,50371233,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=50:codigo/plazas=50371233/1
100826,BOE-A-2025-22543,50371231,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=51:codigo/plazas=50371231/1
100827,BOE-A-2025-22543,50371266,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=52:codigo/plazas=50371266/1
100828,BOE-A-2025-22543,50371267,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=53:codigo/plazas=50371267/1
100829,BOE-A-2025-22543,50371301,OFICINA GENERAL DEL REGISTRO CIVIL DE SAN FERNANDO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=54:codigo/plazas=50371301/1
100830,BOE-A-2025-22543,50371305,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=55:codigo/plazas=50371305/1
100831,BOE-A-2025-22543,50371306,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=56:codigo/plazas=50371306/1
100832,BOE-A-2025-22543,50371330,OFICINA GENERAL DEL REGISTRO CIVIL DE SAN ROQUE.,1,1,,,BOE-A-2025-22543:tabla=0:fila=57:codigo/plazas=50371330/1
100833,BOE-A-2025-22543,50371334,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=58:codigo/plazas=50371334/1
100834,BOE-A-2025-22543,50371335,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=59:codigo/plazas=50371335/1
100835,BOE-A-2025-22543,50371336,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=60:codigo/plazas=50371336/1
100836,BOE-A-2025-22543,50371342,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=61:codigo/plazas=50371342/1
100837,BOE-A-2025-22543,50371373,OFICINA GENERAL DEL REGISTRO CIVIL.,1,1,,,BOE-A-2025-22543:tabla=0:fila=62:codigo/plazas=50371373/1
100838,BOE-A-2025-22543,50370666,OFICINA DE JUSTICIA DE VEJER DE LA FRONTERA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=63:codigo/plazas=50370666/1
100839,BOE-A-2025-22543,50370695,OFICINA DE JUSTICIA DE ALMODOVAR DEL RIO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=64:codigo/plazas=50370695/1
100840,BOE-A-2025-22543,50371394,OFICINA GENERAL DEL REGISTRO CIVIL DE BAENA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=65:codigo/plazas=50371394/1
100841,BOE-A-2025-22543,50370687,OFICINA DE JUSTICIA DE BUJALANCE.,1,1,,,BOE-A-2025-22543:tabla=0:fila=66:codigo/plazas=50370687/1
100842,BOE-A-2025-22543,50371398,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=67:codigo/plazas=50371398/1
100843,BOE-A-2025-22543,50371408,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=68:codigo/plazas=50371408/1
100844,BOE-A-2025-22543,50371416,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=69:codigo/plazas=50371416/1
100845,BOE-A-2025-22543,50371412,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=70:codigo/plazas=50371412/1
100846,BOE-A-2025-22543,50371413,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=71:codigo/plazas=50371413/1
100847,BOE-A-2025-22543,50371414,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=72:codigo/plazas=50371414/1
100848,BOE-A-2025-22543,50371436,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=73:codigo/plazas=50371436/1
100849,BOE-A-2025-22543,50371448,OFICINA GENERAL DEL REGISTRO CIVIL DE MONTILLA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=74:codigo/plazas=50371448/1
100850,BOE-A-2025-22543,50371453,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=75:codigo/plazas=50371453/1
100851,BOE-A-2025-22543,50371460,OFICINA GENERAL DEL REGISTRO CIVIL DE MONTORO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=76:codigo/plazas=50371460/1
100852,BOE-A-2025-22543,50370701,OFICINA DE JUSTICIA DE PALMA DEL RIO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=77:codigo/plazas=50370701/1
100853,BOE-A-2025-22543,50371463,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=78:codigo/plazas=50371463/1
100854,BOE-A-2025-22543,50371473,OFICINA GENERAL DEL REGISTRO CIVIL DE PEÑARROYA-PUEBLONUEVO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=79:codigo/plazas=50371473/1
100855,BOE-A-2025-22543,50371476,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=80:codigo/plazas=50371476/1
100856,BOE-A-2025-22543,50371524,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=81:codigo/plazas=50371524/1
100857,BOE-A-2025-22543,50371522,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=82:codigo/plazas=50371522/1
100858,BOE-A-2025-22543,50370705,OFICINA DE JUSTICIA DE VILLANUEVA DE CORDOBA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=83:codigo/plazas=50370705/1
100859,BOE-A-2025-22543,50371560,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=84:codigo/plazas=50371560/1
100860,BOE-A-2025-22543,50371576,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=85:codigo/plazas=50371576/1
100861,BOE-A-2025-22543,50371578,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=86:codigo/plazas=50371578/1
100862,BOE-A-2025-22543,50371590,OFICINA GENERAL DEL REGISTRO CIVIL DE GUADIX.,1,1,,,BOE-A-2025-22543:tabla=0:fila=87:codigo/plazas=50371590/1
100863,BOE-A-2025-22543,50371595,OFICINA GENERAL DEL REGISTRO CIVIL DE HUESCAR.,1,1,,,BOE-A-2025-22543:tabla=0:fila=88:codigo/plazas=50371595/1
100864,BOE-A-2025-22543,50371598,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=89:codigo/plazas=50371598/1
100865,BOE-A-2025-22543,50371616,OFICINA GENERAL DEL REGISTRO CIVIL DE LOJA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=90:codigo/plazas=50371616/1
100866,BOE-A-2025-22543,50371632,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=91:codigo/plazas=50371632/1
100867,BOE-A-2025-22543,50371633,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=92:codigo/plazas=50371633/1
100868,BOE-A-2025-22543,50371634,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=93:codigo/plazas=50371634/1
100869,BOE-A-2025-22543,50371640,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=94:codigo/plazas=50371640/1
100870,BOE-A-2025-22543,50371670,OFICINA GENERAL DEL REGISTRO CIVIL DE SANTA FE.,1,1,,,BOE-A-2025-22543:tabla=0:fila=95:codigo/plazas=50371670/1
100871,BOE-A-2025-22543,50370710,OFICINA DE JUSTICIA DE ILLORA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=96:codigo/plazas=50370710/1
100872,BOE-A-2025-22543,50370711,OFICINA DE JUSTICIA DE ILLORA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=97:codigo/plazas=50370711/1
