id,boe,puesto_antes,puesto_despues,puesto_normalizado_antes,puesto_normalizado_despues,plazas_antes,plazas_despues,campos_adicionales_modificados,clave_correspondencia,evidencia,candidatos_clave,confianza
101189,BOE-A-2025-22543,50372488,OFICINA GENERAL DEL REGISTRO CIVIL DE LORA DEL RÍO.,50372488,OFICINA GENERAL DEL REGISTRO CIVIL DE LORA DEL RÍO.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=222:codigo/plazas=50372488/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101190,BOE-A-2025-22543,50372508,SERVICIO COMÚN DE TRAMITACIÓN.,50372508,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=223:codigo/plazas=50372508/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101191,BOE-A-2025-22543,50372509,SERVICIO COMÚN DE TRAMITACIÓN.,50372509,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=224:codigo/plazas=50372509/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101192,BOE-A-2025-22543,50372526,SERVICIO COMÚN DE TRAMITACIÓN.,50372526,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=225:codigo/plazas=50372526/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101193,BOE-A-2025-22543,50372543,SERVICIO COMÚN DE TRAMITACIÓN.,50372543,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=226:codigo/plazas=50372543/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101194,BOE-A-2025-22543,50372544,SERVICIO COMÚN DE TRAMITACIÓN.,50372544,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=227:codigo/plazas=50372544/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101195,BOE-A-2025-22543,50372545,SERVICIO COMÚN DE TRAMITACIÓN.,50372545,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=228:codigo/plazas=50372545/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101196,BOE-A-2025-22543,50372546,SERVICIO COMÚN DE TRAMITACIÓN.,50372546,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=229:codigo/plazas=50372546/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101197,BOE-A-2025-22543,50372592,SERVICIO COMÚN DE TRAMITACIÓN.,50372592,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=230:codigo/plazas=50372592/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101198,BOE-A-2025-22543,50372593,SERVICIO COMÚN DE TRAMITACIÓN.,50372593,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=231:codigo/plazas=50372593/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
