id,puesto_persistido,puesto_normalizado,plazas_persistidas,fecha_boe,boe,fuente_oficial,clasificacion,puesto_correcto_si_determinable,plazas_correctas_si_determinables,registro_espurio,causa
100799,50371030,50371030,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100800,50371031,50371031,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100801,50371032,50371032,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100802,50371033,50371033,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100803,50371034,50371034,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100804,50371064,50371064,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100805,50371025,50371025,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100806,50371074,50371074,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100807,50371099,50371099,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100808,50371102,50371102,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100809,50371119,50371119,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100810,50370673,50370673,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100811,50370654,50370654,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100812,50371153,50371153,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100813,50370676,50370676,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100814,50370663,50370663,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100815,50371185,50371185,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100816,50371186,50371186,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100817,50371187,50371187,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100818,50371188,50371188,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100819,50371189,50371189,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100820,50371190,50371190,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100821,50371224,50371224,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100822,50371225,50371225,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100823,50370656,50370656,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100824,50371246,50371246,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100825,50371233,50371233,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100826,50371231,50371231,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100827,50371266,50371266,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100828,50371267,50371267,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100829,50371301,50371301,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100830,50371305,50371305,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100831,50371306,50371306,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100832,50371330,50371330,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100833,50371334,50371334,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100834,50371335,50371335,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100835,50371336,50371336,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100836,50371342,50371342,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100837,50371373,50371373,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100838,50370666,50370666,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100839,50370695,50370695,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100840,50371394,50371394,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100841,50370687,50370687,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
