Alias;Provincia;Municipio_oficial;Codigo_INE;Fuente;Confianza
Calayatud;Zaragoza;Calatayud;50067;https://www.ine.es/#v5-2-alias-municipal;ALTA
Cañizo de Campos;Zamora;Cañizo;49035;https://www.ine.es/#v5-2-alias-municipal;ALTA
Cabrera d'Igualada;Barcelona;Cabrera d'Anoia;08028;https://www.ine.es/#v5-2-alias-municipal;ALTA
Cabrera d`Igualada;Barcelona;Cabrera d'Anoia;08028;https://www.ine.es/#v5-2-alias-municipal;ALTA
Corvera;Asturias;Corvera de Asturias;33020;https://www.ine.es/#v5-2-alias-municipal;ALTA
Guntín de Pallares;Lugo;Guntín;27023;https://www.ine.es/#v5-2-alias-municipal;ALTA
Hornos de Segura;Jaén;Hornos;23043;https://www.ine.es/#v5-2-alias-municipal;ALTA
Legutiano;Araba/Álava;Legutio;01058;https://www.ine.es/#v5-2-alias-municipal;ALTA
Masarac;Girona;Masarac i Vilarnadal;17100;https://www.ine.es/#v5-2-alias-municipal;ALTA
Olleria;Valencia/València;Olleria, l';46183;https://www.ine.es/#v5-2-alias-municipal;ALTA
Oyón;Araba/Álava;Oyón-Oion;01043;https://www.ine.es/#v5-2-alias-municipal;ALTA
Roa de Duero;Burgos;Roa;09321;https://www.ine.es/#v5-2-alias-municipal;ALTA
San Ildefonso-La Granja;Segovia;Real Sitio de San Ildefonso;40181;https://www.ine.es/#v5-2-alias-municipal;ALTA
San Vicent del Raspeig;Alicante/Alacant;Sant Vicent del Raspeig/San Vicente del Raspeig;03122;https://www.ine.es/#v5-2-alias-municipal;ALTA
Sant Vicente del Raspeig;Alicante/Alacant;Sant Vicent del Raspeig/San Vicente del Raspeig;03122;https://www.ine.es/#v5-2-alias-municipal;ALTA
Santa María de Corcó;Barcelona;Esquirol, L';08254;https://www.ine.es/#v5-2-alias-municipal;ALTA
Vecilla de Curueño;León;Vecilla, La;24193;https://www.ine.es/#v5-2-alias-municipal;ALTA
Vila Joiosa;Alicante/Alacant;Vila Joiosa, la/Villajoyosa;03139;https://www.ine.es/#v5-2-alias-municipal;ALTA
Vilaflor;Santa Cruz de Tenerife;Vilaflor de Chasna;38052;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Moya;Las Palmas;Moya;35013;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Santa Brígida;Las Palmas;Santa Brígida;35021;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villaviciosa de Asturias;Asturias;Villaviciosa;33076;https://www.ine.es/#v5-2-alias-municipal;ALTA
Santa Marta de los Barros;Badajoz;Santa Marta;06121;https://www.ine.es/#v5-2-alias-municipal;ALTA
